UserLocation	UserDescription	AccountLanguage	TweetLanguage	TweetText	TweetClient	isVerified
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @EdKrassen: If you believe that God created Earth, and you still don't think we need to protect it, you obviously don't care much for Go…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	und	RT @JohnAng35537560: #ImpeachDonaldTrump #ImpeachmentHearingsNow https://t.co/zoSXmJuoVy	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	und	RT @burnsinandout3: @TLangley99 @senatemajldr @realDonaldTrump @LindseyGrahamSC @DonaldJTrumpJr @HouseGOP @SenateGOP @RepMattGaetz @RandPau…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: Quick!  time is short!🔥
   There is a virtual dumpster 🔥fire in the White House, so let's test tRump's water bomber theory.…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"Individual #1 is a 🇷🇺🇨🇳🇸🇦🇰🇵 compromised usefull idiot Security Risk.
  An amoral, explotable, not so bright, narcist in a position of power/influence gained by inheritance, family or crime connections.
 🇺🇲Examples: The 🍊🤡, his family, &amp; the ""be best"" people they hire.
WakeUp🇺🇸 https://t.co/ZMPQLxemrB"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: To: NC @PatrickMcHenry &amp;
@SenatorBurr , @SenThomTillis  🤔
Cohen: ""...I did the same thing that you're doing now . . ."" ""I p…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: Just to be clear!
#TransparencyNow
#ReleaseTheEntireReport #ReleaseTheFullReport
#RuleOfLaw
#ForThePeople
For Truth ⚖️,🗽&amp; t…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: Nominations for the
""GOP Cone of shame""

Here is my short list:
(Who would you add?) @senatemajldr @realDonaldTrump @Lindse…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @TLangley99: No American citizen can accept this from the POTUS and legitimately claim to believe in the founding principals of this nat…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: A president who believes the truth is whatever he says it is &amp; ""his"" Attorney General that thinks a president can't obstruc…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: The Constitution gives Congress the responsibility &amp; powers to conduct oversight of the Executive branch.
 They must turn u…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @SassyKadiK: Trump shared military growth with kids at the Easter Egg hunt then on to The Wall while he colored.
I hope the hell he didn…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	und	RT @sedakennedy: https://t.co/Vahp8Jdo1r	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @RBReich: The question on everyone’s mind is whether Trump will be impeached. In other words, will America fire Trump? Well, I have news…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"The Constitution gives Congress the responsibility &amp; powers to conduct oversight of the Executive branch.
 They must turn up the lights &amp; push for tansparency until the facts are clear &amp; made public.
 If the President abused his office, then impeach him 2 preserve Truth,⚖️&amp;🇺🇲way https://t.co/WnVv1NsyAL"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @AprilDRyan: Here is the full statement on lack of credibility of @PressSec who admitted under oath that she lied! https://t.co/vi2xUm2W…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @DalaiLama: The young people of this 21st century represent our planet now. They have the ability to bring about change. Even as climate…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: #Evangelicals Really?
  Devine Providence selected a:
non-repentent
unstable
delusional
arrogant
narcissistic
moronic
ignor…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: What is the difference between 138 &amp; 138 million dead?

A rounding error, close enough, just another, ""slip of the tongue""…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @SassyKadiK: Trump has never addressed Russia's attacks on our democracy.  He has done nothing to prevent it from happening again. No sa…	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	"RT @TLangley99: Make America Whole Again #MAWA
America needs transparency!
#MuellerReport 
#TransparencyNow
#ReleaseTheReport
#RuleOfLaw
#F…"	Twitter for Android	False
3rd rock, NA, USA, NC	"❄️2🌊4⚖️ 26yr #USAFvet, Wx Forecaster, 40yr #pilot, business owner into #CivilDiscourse #science #LifelongLearning #🤔~tl
Searching 4 #truth, ⚖️ & 🇺🇸way #FBR"	en	en	RT @TLangley99: The 'Flip flopping hypocrite' award winner?🏆🏆🏆 @LindseyGrahamSC 🤦‍♂️🤦😱 https://t.co/8417pusxRk	Twitter for Android	False
